lemma,upos,synonyms,hypernyms
intend,VB,designate|destine|intend|mean|signify|specify|stand for|think,plan|convey
bowen,NNP,,NA
inspire,VBN,animate|barrack|breathe in|cheer|enliven|exalt|exhort|inhale|inspire|instigate|invigorate|pep up|prompt|revolutionise|revolutionize|root on|urge|urge on,stimulate|shake|shake up|excite|stir|occasion|induce|cause|have|get|make|encourage|indoctrinate|breathe|take a breath|respire|suspire
solution,NN,answer|resolution|result|root|solution|solvent,mixture|statement|method|set|success
ever-voracious,JJ,,NA
demand,NNS,demand|need|requirement,request|petition|postulation|economic process|duty|responsibility|obligation|activity|condition|status
house,VB,domiciliate|house|put up,accommodate|hold|admit|shelter
volumes,NNS,,NA
electronic,JJ,electronic,
format,NN,data format|data formatting|format|formatting,information|info|appearance|visual aspect
discard,VBN,cast aside|cast away|cast out|chuck out|discard|dispose|fling|put away|throw away|throw out|toss|toss away|toss out,get rid of|remove
digitised,JJ,,NA
access,NN,access|access code|accession|admission|admittance|approach|entree|memory access,right|way|code|operation|approach|approaching|coming
run,VBZ,be given|black market|bleed|break away|bunk|campaign|carry|consort|course|die hard|draw|endure|escape|execute|extend|feed|flow|fly the coop|function|go|guide|head for the hills|hightail it|hunt|hunt down|incline|ladder|lam|lead|lean|melt|melt down|move|operate|pass|persist|play|ply|prevail|race|range|run|run away|run for|scarper|scat|take to the woods|tend|track down|turn tail|unravel|work,travel rapidly|speed|hurry|zip|leave|go forth|go away|be|direct|move|race|run|travel|go|locomote|function|work|operate|become|get|process|treat|incur|continue|occur|enforce|implement|apply|circulate|circularize|circularise|distribute|disseminate|propagate|broadcast|spread|diffuse|disperse|pass around|carry through|accomplish|execute|carry out|action|fulfill|fulfil|pass|make pass|succeed|win|come through|bring home the bacon|deliver the goods|trade|merchandise|displace|spread out|fan out|sail|last|endure|free|liberate|release|unloose|unloosen|loose|accompany|trip|jaunt|capture|catch|compete|vie|contend|change|dissolve|resolve|break up|break|separate|split up|fall apart|come apart|disintegrate
holding,NNS,belongings|holding|keeping|property|retention,possession|ownership
space-saving,JJ,,NA
understandable,NNP,,NA
decision,NN,conclusion|decision|decisiveness|determination,choice|selection|option|pick|judgment|judgement|mind|result|resultant|final result|outcome|termination|resoluteness|firmness|firmness of purpose|resolve|resolution
page,NN,page|Page|pageboy|Sir Frederick Handley Page|Thomas Nelson Page|varlet,leaf|folio|messenger boy|errand boy|attendant|attender|tender
image,NNS,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
user-friendly,JJ,user-friendly,
search,VBG,explore|look|look for|research|search|seek,examine|see|investigate|look into
capability,NNS,capability|capableness|capacity|potentiality,ability|susceptibility|susceptibleness|aptitude
full-text,JJ,,NA
supply,NN,provision|supply|supplying,indefinite quantity|economic process|activity
likewise,RB,alike|also|as well|besides|likewise|similarly|too,NA
digitise,NN,,NA
back-run,JJ,,NA
218,CD,NA,NA
bold,JJ,bluff|bold|sheer,
lie,VBZ,consist|dwell|lie|lie down|lie in|rest,be|exist|misinform|mislead|change posture
version,NNS,adaptation|edition|interlingual rendition|interpretation|reading|rendering|translation|variant|variation|version,interpretation|type|writing|written material|piece of writing|written record|written account|representation|mental representation|internal representation|turn|turning
thousand,NNS,1000|chiliad|G|grand|K|M|one thousand|thou|thousand|yard,large integer
title,NNS,championship|claim|deed|deed of conveyance|form of address|rubric|statute title|title|title of respect,heading|header|head|name|subheading|subhead|high status|legal document|legal instrument|official document|instrument|appellation|denomination|designation|appellative|legal right|writing|written material|piece of writing|right
current,NN,current|electric current|flow|stream,electrical phenomenon|flow|flowing|course|line
retrospective,NN,retrospective,art exhibition
reach,VBP,accomplish|achieve|arrive at|attain|contact|extend to|gain|get hold of|get through|get to|give|hand|hit|make|pass|pass on|progress to|reach|reach out|strain|strive|touch|turn over,arrive|get|come|move|communicate|intercommunicate|succeed|win|come through|bring home the bacon|deliver the goods|be|achieve|accomplish|attain|reach|transfer|tug|labor|labour|push|drive
value,VBN,appraise|appreciate|assess|esteem|evaluate|measure|prise|prize|rate|respect|treasure|valuate|value,determine|set|see|consider|reckon|view|regard|evaluate|pass judgment|judge|measure|valuate|assess|appraise|value
offer,NN,crack|fling|go|offer|offering|pass|whirl,speech act|message|content|subject matter|substance|attempt|effort|endeavor|endeavour|try
solution,NNS,answer|resolution|result|root|solution|solvent,mixture|statement|method|set|success
look,VBP,appear|attend|await|bank|bet|calculate|count|depend|expect|face|front|look|reckon|rely|search|see|seem|swear|take care|wait,be|examine|see|lie|care|give care|convey|match|fit|correspond|check|jibe|gibe|tally|agree|trust
date,VBN,date|date stamp|go out|go steady|see,go out|date|stamp|determine|set|consort|associate|affiliate|assort|supply|provide|render|furnish
subscription-based,JJ,,NA
open-access,JJ,,NA
publisher,NNS,newspaper publisher|publisher|publishing company|publishing firm|publishing house,firm|house|business firm|professional|professional person|owner|proprietor
improve,VBP,ameliorate|amend|better|improve|meliorate,change|alter|modify|change state|turn
reader,NNS,lector|lecturer|proofreader|reader|referee|reviewer|subscriber,scholar|scholarly person|bookman|student|customer|client|literate|literate person|critic|printer|pressman|clergyman|reverend|man of the cloth|Holy Order|Order|educator|pedagogue|pedagog|textbook|text|text edition|schoolbook|school text
accessible,JJ,accessible|approachable,
network,NNS,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
small-scale,JJ,minor|modest|pocket-size|pocket-sized|small|small-scale,
valuable,JJ,valuable|worthful,
lesson,NNS,deterrent example|example|lesson|moral|object lesson,teaching|instruction|pedagogy|admonition|monition|warning|word of advice|meaning|significance|signification|import|school assignment|schoolwork
roger,NNP,,NA
schonfeld,NNP,,NA
end,VBZ,cease|end|finish|stop|terminate,change|alter|modify|be|destroy|destruct
description,NN,description|verbal description,statement|speech act|kind|sort|form|variety
chapter,NN,chapter,section|subdivision|phase|stage|club|social club|society|guild|gild|lodge|order|assembly|episode
lesson,NNP,deterrent example|example|lesson|moral|object lesson,teaching|instruction|pedagogy|admonition|monition|warning|word of advice|meaning|significance|signification|import|school assignment|schoolwork
learned,NNP,,NA
initiative,NNS,enterprise|enterprisingness|first step|go-ahead|initiative|opening|opening move,drive|beginning|start|commencement
launch,VB,establish|found|launch|plunge|set in motion|set up,open|open up|propel|impel|launch|set in motion|get down|begin|get|start out|start|set about|set out|commence|move|displace|smooth|smoothen
sound,NN,audio|auditory sensation|phone|sound|speech sound|strait,sound property|sensation|esthesis|aesthesis|sense experience|sense impression|sense datum|mechanical phenomenon|happening|occurrence|occurrent|natural event|auditory communication|language unit|linguistic unit|channel|body of water|water
viability,NN,viability,property|practicality
transition,NN,changeover|conversion|modulation|passage|transition,change of state|transformation|transmutation|shift|change|alteration|modification|passage|musical passage
enterprising,JJ,enterprising,
kevin,NNP,,NA
guthrie,NNP,Guthrie|Woodrow Wilson Guthrie|Woody Guthrie,
quickest,JJS,,NA
conflicting,JJ,at odds(p)|conflicting|contradictory|self-contradictory,
advice—much,NN,,NA
result,VBN,ensue|lead|leave|result,prove|turn out|turn up|produce|bring about|give rise|happen|hap|go on|pass off|occur|pass|fall out|come about|take place
reaching,NN,arrival|reach|reaching|stretch,motion|movement|move|motility|accomplishment|achievement
deadend—and,NN,,NA
convince,VBD,convert|convince|win over,persuade
library,NN,depository library|library|program library|subroutine library,room|collection|aggregation|accumulation|assemblage|depository|deposit|depositary|repository|building|edifice
promise,NN,hope|promise,speech act|commitment|dedication|expectation|outlook|prospect
meet,VBG,adjoin|assemble|come across|conform to|contact|converge|encounter|fill|fit|foregather|forgather|fulfil|fulfill|gather|get together|meet|play|receive|run across|run into|satisfy|see|suffer|take on|touch,NA
user,NN,drug user|exploiter|substance abuser|user,person|individual|someone|somebody|mortal|soul|selfish person
easy,JJ,comfortable|easy|easygoing|gentle|leisurely|light|loose|promiscuous|prosperous|sluttish|soft|wanton|well-fixed|well-heeled|well-off|well-situated|well-to-do,
high-quality,JJ,,NA
key,NN,cay|Florida key|Francis Scott Key|headstone|key|Key|key fruit|keystone|paint|samara|tonality|winder,device|explanation|pitch|musical notation|kilogram|kg|kilo|achene|coral reef|space|list|listing|positive identification|mechanical device|building block|lever
fulfilment,NN,fulfillment|fulfilment,satisfaction|consummation
depth—long,NN,,NA
run,NNS,campaign|discharge|foot race|footrace|ladder|outpouring|political campaign|ravel|rill|rivulet|run|runnel|running|running game|running play|streak|streamlet|tally|test|trial,score|attempt|effort|endeavor|endeavour|try|race|succession|football play|trip|locomotion|travel|time period|period of time|period|liberty|indefinite quantity|stream|watercourse|damage|harm|impairment|flow|flowing|sequence|chronological sequence|successiveness|chronological succession
core,NN,burden|center|centre|Congress of Racial Equality|core|CORE|core group|effect|essence|gist|heart|heart and soul|inwardness|kernel|magnetic core|marrow|meat|nitty-gritty|nub|nucleus|pith|substance|sum,set|center|centre|midpoint|content|cognitive content|mental object|sample|nongovernmental organization|NGO|meaning|significance|signification|import|torus|toroid|chamber|bar
journals—and,NN,,NA
hallmark,NN,assay-mark|authentication|earmark|hallmark|stylemark|trademark,characteristic|marker|marking|mark
understandable,JJ,apprehensible|graspable|intelligible|perceivable|understandable,
mistake,NNS,error|fault|misapprehension|mistake|misunderstanding,nonaccomplishment|nonachievement|misconception|misstatement
difficulty,NN,difficultness|difficulty|trouble,effort|elbow grease|exertion|travail|sweat|cognitive factor|condition|status|quality
consortial,NN,,NA
purchase,NNS,leverage|purchase,acquisition|influence|mechanical phenomenon
delay,VBD,check|delay|detain|hold up|retard|stay,decelerate|slow|slow down|slow up|retard|wait|hold off|hold back|check|delay|change|alter|modify
sell,VBG,betray|deal|sell|trade,exchange|change|interchange|be|persuade|transact|surrender|cede|deliver|give up|deceive|lead on|delude|cozen
consortium,NN,consortium|pool|syndicate,association
academic,JJ,academic|donnish|pedantic,
route,NN,itinerary|path|road|route,line|way
secure,VBG,assure|batten|batten down|ensure|fasten|fix|guarantee|insure|plug|procure|secure|stop up,obtain|attach|guarantee|vouch|close|fill up|strengthen|beef up|fortify
longer-term,JJ,,NA
realised,JJ,accomplished|completed|realised|realized,
big,NNP,,NA
deal,NNP,bargain|batch|business deal|deal|flock|good deal|great deal|hand|hatful|heap|lot|mass|mess|mickle|mint|mountain|muckle|passel|peck|pile|plenty|pot|quite a little|raft|sight|slew|softwood|spate|stack|tidy sum|trade|wad,transaction|dealing|dealings|agreement|understanding|large indefinite quantity|large indefinite amount|board|plank|wood|collection|aggregation|accumulation|assemblage|result|resultant|final result|outcome|termination|distribution|allotment|apportionment|apportioning|allocation|parceling|parcelling|assignation
delayed—not,NN,,NA
lost—through,NN,,NA
slow,VB,decelerate|retard|slack|slacken|slow|slow down|slow up,decrease|diminish|lessen|fall|weaken|decelerate|slow|slow down|slow up|retard
adaptation,NN,adaptation|adaption|adjustment|version,writing|written material|piece of writing|organic process|biological process|alteration|modification|adjustment
purchase,VBG,buy|purchase,get|acquire
selling,NN,marketing|merchandising|selling,commerce|commercialism|mercantilism
uk,NNP,Britain|Great Britain|U.K.|UK|United Kingdom|United Kingdom of Great Britain and Northern Ireland,
jisc,NNP,,NA
system,NNPS,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
council,NNP,council,administrative unit|administrative body|assembly|meeting|group meeting
deal,NNS,bargain|batch|business deal|deal|flock|good deal|great deal|hand|hatful|heap|lot|mass|mess|mickle|mint|mountain|muckle|passel|peck|pile|plenty|pot|quite a little|raft|sight|slew|softwood|spate|stack|tidy sum|trade|wad,transaction|dealing|dealings|agreement|understanding|large indefinite quantity|large indefinite amount|board|plank|wood|collection|aggregation|accumulation|assemblage|result|resultant|final result|outcome|termination|distribution|allotment|apportionment|apportioning|allocation|parceling|parcelling|assignation
imaginative,JJ,imaginative|inventive,
vendor,NNS,marketer|seller|trafficker|vender|vendor,merchant|merchandiser
understanding,NN,agreement|apprehension|discernment|intellect|reason|savvy|sympathy|understanding,knowing|statement|inclination|disposition|tendency|faculty|mental faculty|module
structure,NN,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme
sell,VBN,betray|deal|sell|trade,exchange|change|interchange|be|persuade|transact|surrender|cede|deliver|give up|deceive|lead on|delude|cozen
dividend,NNS,dividend,net income|net|net profit|lucre|profit|profits|earnings|number|bonus|incentive
open-access,NNP,,NA
sell,VB,betray|deal|sell|trade,exchange|change|interchange|be|persuade|transact|surrender|cede|deliver|give up|deceive|lead on|delude|cozen
globalisation,NN,globalisation|globalization,economic process
peer-reviewed,JJ,,NA
book,NN,account book|al-Qur'an|Bible|book|Book|book of account|Christian Bible|Good Book|Holy Scripture|Holy Writ|Koran|ledger|leger|playscript|Quran|record|record book|rule book|script|Scripture|volume|Word|Word of God,publication|product|production|fact|dramatic composition|dramatic work|record|collection|aggregation|accumulation|assemblage|sacred text|sacred writing|religious writing|religious text|section|subdivision
draw,VBZ,absorb|attract|cast|delineate|depict|describe|disembowel|drag|draw|draw and quarter|draw in|draw off|eviscerate|get|get out|guide|imbibe|line|make|pass|puff|pull|pull back|pull in|pull out|quarter|reap|run|soak up|sop up|string|suck|suck up|take in|take out|take up|thread|tie|trace|withdraw,move|displace|derive|gain|mark|create by mental act|create mentally|remove|take|take away|withdraw|represent|interpret|set forth|expound|exposit|choose|select|pick out|arouse|elicit|enkindle|kindle|evoke|fire|raise|provoke|inhale|inspire|breathe in|travel|go|locomote|effect|effectuate|set up|change|alter|modify|write|compose|pen|indite|create|close|shut|be|necessitate|ask|postulate|need|require|involve|call for|demand|kill|pull|draw|arrange|stretch|equal|match|equalize|equalise|equate|change shape|change form|deform|thin|steep|infuse|shape|form|localize|localise
minute,NN,arcminute|bit|hour|instant|min|minute|minute of arc|mo|moment|second,time unit|unit of time|time|point|point in time|angular unit|note|distance
reader,NN,lector|lecturer|proofreader|reader|referee|reviewer|subscriber,scholar|scholarly person|bookman|student|customer|client|literate|literate person|critic|printer|pressman|clergyman|reverend|man of the cloth|Holy Order|Order|educator|pedagogue|pedagog|textbook|text|text edition|schoolbook|school text
comprehensiveness,NN,breadth|comprehensiveness|fullness|largeness,completeness|intelligence
question,VBN,call into question|interrogate|interview|oppugn|query|question|wonder,challenge|ask|inquire|enquire|converse|discourse|chew over|think over|meditate|ponder|excogitate|contemplate|muse|reflect|mull|mull over|ruminate|speculate
omission,NN,deletion|omission|skip,mistake|error|fault|neglect|disuse|linguistic process|disregard
question,VBP,call into question|interrogate|interview|oppugn|query|question|wonder,challenge|ask|inquire|enquire|converse|discourse|chew over|think over|meditate|ponder|excogitate|contemplate|muse|reflect|mull|mull over|ruminate|speculate
concern,VBZ,bear on|come to|concern|have to do with|interest|occupy|pertain|refer|relate|touch|touch on|worry,
world-shattering,JJ,earthshaking|world-shaking|world-shattering,
illustrate,VB,exemplify|illustrate|instance,elaborate|lucubrate|expatiate|exposit|enlarge|flesh out|expand|expound|dilate|picture|depict|render|show|decorate|adorn|grace|ornament|embellish|beautify
sympathise,NN,,NA
comprehensive,JJ,comprehensive,
appear,VBG,appear|come along|come out|look|seem,be|happen|materialize|materialise|perform|execute|do
impossible,JJ,impossible|inconceivable|out of the question|unacceptable|unimaginable,
briefer,NN,,NA
aside,RB,apart|aside|away|by,NA
quibble,NNS,cavil|quibble|quiddity,evasion|equivocation
caveat,NNS,caution|caveat,warning|notice
fascinating,JJ,absorbing|bewitching|captivating|enchanting|engrossing|enthralling|entrancing|fascinating|gripping|riveting,
instructive,JJ,informative|instructive,
ground-breaking,JJ,,NA
expect,VBD,anticipate|ask|await|bear|carry|expect|gestate|have a bun in the oven|look|require|wait,evaluate|pass judgment|judge|demand|see|consider|reckon|view|regard|expect|look|await|wait|give birth|deliver|bear|birth|have
bottom-line,JJ,,NA
ever-expanding,JJ,,NA
go,VBN,become|belong|blend|blend in|break|break down|buy the farm|cash in one's chips|choke|conk|conk out|croak|decease|depart|die|drop dead|endure|exit|expire|extend|fail|fit|function|get|get going|give out|give way|give-up the ghost|go|go away|go bad|hold out|hold up|kick the bucket|last|lead|live|live on|locomote|move|operate|pass|pass away|perish|plump|pop off|proceed|rifle|run|run low|run short|snuff it|sound|start|survive|travel|work,NA
conceive,VBN,believe|conceive|conceptualise|conceptualize|consider|gestate|think,create by mental act|create mentally|evaluate|pass judgment|judge|change state|turn
solution—the,NN,,NA
content—has,NNS,,NA
become,VBP,become|get|go|suit|turn,change state|turn|transform|transmute|metamorphose|fancify|beautify|embellish|prettify
accord,NN,accord|accordance|agreement|conformity|pact|treaty,harmony|concord|concordance|agreement|written agreement|compatibility
lesson,NN,deterrent example|example|lesson|moral|object lesson,teaching|instruction|pedagogy|admonition|monition|warning|word of advice|meaning|significance|signification|import|school assignment|schoolwork
pace,NN,footstep|gait|pace|rate|step|stride|tempo|tread|yard,rate|indefinite quantity|temporal property|step|linear unit|linear measure
pathologist,NN,diagnostician|pathologist,specialist|medical specialist
make,NNS,brand|make|shuffle|shuffling,kind|sort|form|variety|reordering
red,JJ,blood-red|carmine|cerise|cherry|cherry-red|crimson|flushed|red|red-faced|reddened|reddish|ruby|ruby-red|ruddy|scarlet|violent,
biochemist,NN,biochemist,chemist
discard,NNS,discard|throwing away,object|physical object|abandonment
bread,NN,boodle|bread|breadstuff|cabbage|clams|dinero|dough|gelt|kale|lettuce|lolly|loot|lucre|moolah|pelf|scratch|shekels|simoleons|staff of life|sugar|wampum,baked goods|starches|money
sandwich,NNS,sandwich,snack food
mathematician,NN,mathematician,scientist
indulge,VBZ,baby|cocker|coddle|cosset|featherbed|gratify|indulge|luxuriate|mollycoddle|pamper|pander|spoil,provide|supply|ply|cater|consume|eat up|use up|eat|deplete|exhaust|run through|wipe out|treat|handle|do by
designer,NN,architect|clothes designer|couturier|designer|fashion designer|graphic designer|interior designer|intriguer,specialist|specializer|specialiser|creator|planner|contriver|deviser
chocolate,NN,burnt umber|chocolate|cocoa|coffee|deep brown|drinking chocolate|hot chocolate|umber,beverage|drink|drinkable|potable|food|solid food|brown|brownness
conscience,NN,conscience|moral sense|scruples|sense of right and wrong,ethical motive|ethics|morals|morality|shame
demographer,NN,demographer|demographist|population scientist,sociologist
stick,VBZ,adhere|amaze|baffle|beat|bewilder|bind|bond|cleave|cling|cohere|deposit|dumbfound|flummox|get|gravel|hold fast|lodge|mystify|nonplus|perplex|pose|puzzle|stand by|stay|stay put|stick|stick around|stick by|stick to|sting|stupefy|vex|wedge,fasten|fix|secure|stay in place|attach|be|persist|remain|stay|adopt|follow|espouse|decorate|adorn|grace|ornament|embellish|beautify|pierce|thrust|touch|adjoin|meet|contact|force|confuse|throw|fox|befuddle|fuddle|bedevil|confound|discombobulate
vitamin,NN,vitamin,nutriment|nourishment|nutrition|sustenance|aliment|alimentation|victuals
supplement,NNS,accessory|add-on|addendum|appurtenance|postscript|supplement|supplementation,matter|increase|increment|component|constituent|element
biologist,NN,biologist|life scientist,scientist
calculate,VBZ,account|aim|bank|bet|calculate|cipher|compute|count|count on|cypher|depend|direct|estimate|figure|forecast|look|reckon|rely|swear|work out,reason|evaluate|pass judgment|judge|predict|foretell|prognosticate|call|forebode|anticipate|promise|intend|destine|designate|specify|trust
compensation,NNS,compensation|recompense,recompense|defense mechanism|defense reaction|defence mechanism|defence reaction|defense|defence|correction|rectification
celibacy,NN,celibacy|chastity|sexual abstention,condition|status|abstinence
transplant,NNS,graft|organ transplant|transplant|transplantation|transplanting,animal tissue|operation|surgery|surgical operation|surgical procedure|surgical process|movement
gonad,NNS,gonad|sex gland,endocrine gland|endocrine|ductless gland
mouse,NNS,black eye|computer mouse|mouse|shiner,rodent|gnawer|bruise|contusion|person|individual|someone|somebody|mortal|soul|electronic device
lifespan,NN,life|life-time|lifespan|lifetime,time period|period of time|period
human,NNS,homo|human|human being|man,hominid
cure,VB,bring around|cure|heal,help|aid|preserve|keep|harden|indurate|change
age,VBG,age|get on|maturate|mature|senesce,develop|change|alter|modify
disease,NNS,disease,illness|unwellness|malady|sickness
come,VBP,add up|amount|arrive|come|come in|come up|derive|descend|do|fall|fare|follow|get|get along|hail|issue forth|make out|number|occur|total,NA
resveratrol,NN,,NA
feasible,JJ,executable|feasible|practicable|viable|workable,
note,VBZ,mark|mention|note|notice|observe|remark|take down|take note,state|say|tell|write down|set down|get down|put down
sinclair,NNP,Clive Sinclair|Sinclair|Sir Clive Marles Sinclair|Upton Beall Sinclair|Upton Sinclair,
professor,NN,prof|professor,academician|academic|faculty member
pathology,NN,pathology,medical science|ill health|unhealthiness|health problem
harvard,NNP,Harvard|Harvard University|John Harvard,
school,NNP,school|school day|schoolhouse|schooling|schooltime|shoal,educational institution|building|edifice|education|body|time period|period of time|period|animal group
boston,NNP,Bean Town|Beantown|Boston|capital of Massachusetts|Hub of the Universe,
massachusett,NNP,,NA
add,VBZ,add|add together|add up|append|bestow|bring|contribute|impart|lend|sum|sum up|summate|supply|tally|tot|tot up|total|tote up,increase|state|say|tell|change|alter|modify|calculate|cipher|cypher|compute|work out|reckon|figure|count|number|enumerate|numerate|form|constitute|make
glass,NN,chalk|chicken feed|crank|deoxyephedrine|drinking glass|field glass|glass|glassful|ice|looking glass|meth|methamphetamine|methamphetamine hydrochloride|Methedrine|shabu|spyglass|trash,solid|container|containerful|refracting telescope|amphetamine|pep pill|upper|speed|controlled substance|mirror|glassware|glasswork
organic,JJ,constituent(a)|constitutional|constitutive(a)|organic,
molecule,NNS,atom|corpuscle|molecule|mote|particle|speck,unit|building block|material|stuff
capable,JJ,able|adequate to(p)|capable|equal to(p)|open|subject|up to(p),
extend,VBG,broaden|carry|continue|cover|draw out|expand|exsert|extend|gallop|go|hold out|lead|offer|pass|poke out|prolong|protract|put out|reach out|run|strain|stretch|stretch forth|stretch out|unfold|widen,increase|be|supply|provide|render|furnish|gesticulate|gesture|motion|give|pay|tense|strain|tense up|change|alter|modify|lengthen|change shape|change form|deform|ride|sit|straighten|straighten out|use|utilize|utilise|apply|employ|prolong|protract|extend|draw out|continue
proficient,JJ,adept|expert|good|practiced|proficient|skilful|skillful|technical,
polyphenol,NN,,NA
discovery,NN,breakthrough|discovery|find|uncovering,act|deed|human action|human activity|disclosure|revelation|revealing|insight|brainstorm|brainwave
elixir,NN,elixir|philosopher's stone|philosophers' stone,liquid|substance|potion|panacea|nostrum|catholicon|cure-all
combat,VB,battle|combat,contend|fight|struggle
extraordinary,JJ,extraordinary|extraordinary(p)|over-the-top|sinful,
advance,NN,advance|advancement|approach|betterment|cash advance|feeler|forward motion|improvement|onward motion|overture|procession|progress|progression|rise,change of location|travel|transformation|transmutation|shift|suggestion|proposition|proffer|motion|movement|move|sum|sum of money|amount|amount of money|increase|step-up
discovery,NNS,breakthrough|discovery|find|uncovering,act|deed|human action|human activity|disclosure|revelation|revealing|insight|brainstorm|brainwave
revolutionised,JJ,,NA
treat,VBG,address|care for|cover|deal|do by|handle|plow|process|regale|treat,interact|affect|impact|bear upon|bear on|touch on|touch|broach|initiate|give|gift|present|provide|supply|ply|cater|negociate|react|respond
alzheimer,NNP,,NA
life-enhancing,JJ,,NA
polyphenol,NNS,,NA
confine,VBN,bound|confine|constrain|detain|enclose|hold|hold in|limit|restrain|restrict|throttle|trammel,restrain|keep|keep back|hold back|hold|bear|carry|contain|disable|disenable|incapacitate
baker,NN,baker|bread maker,merchant|merchandiser|skilled worker|trained worker|skilled workman
yeast,NN,barm|yeast,leaven|leavening|fungus
saccharomyce,NNP,,NA
cerevisia,NN,,NA
giant,JJ,elephantine|gargantuan|giant|jumbo,
leap,NN,bounce|bound|jump|leap|leaping|saltation|spring,jump|jumping|transition|increase|distance
humankind,NN,human beings|human race|humanity|humankind|humans|man|mankind|world,homo|man|human being|human|group|grouping
imagine,VBD,conceive of|envisage|guess|ideate|imagine|opine|reckon|suppose|think,create by mental act|create mentally|expect|anticipate
thing,NNS,affair|matter|thing,situation|state of affairs|action|abstraction|abstract|artifact|artefact|happening|occurrence|occurrent|natural event|concern|statement|entity|attribute|aim|object|objective|target|feeling|physical entity
buzz,VBG,bombilate|bombinate|buzz|hum|seethe,sound|go|fly|wing|be|summon
resveratrol,NNP,,NA
stimulate,VBN,arouse|brace|cause|energise|energize|excite|get|hasten|have|induce|make|perk up|provoke|rush|shake|shake up|stimulate|stir,affect|impact|bear upon|bear on|touch on|touch|arouse|elicit|enkindle|kindle|evoke|fire|raise|provoke|effect|effectuate|set up|sensitize|sensitise|challenge
activator,NN,activator,substance
longevity,NN,length of service|longevity|seniority,longness|oldness
enzyme,NN,enzyme,protein|catalyst|accelerator
sir-,NNP,,NA
thereby,RB,thereby,NA
organism,NN,being|organism,living thing|animate thing|system|scheme
box,NNP,box|box seat|boxful|boxwood|corner|loge,container|compartment|containerful|predicament|quandary|plight|rectangle|shrub|bush|area|seat|blow
protein,NNS,protein,macromolecule|supermolecule
organism,NNS,being|organism,living thing|animate thing|system|scheme
regulate,VBZ,baffle|determine|govern|influence|modulate|mold|order|regularise|regularize|regulate|shape,adjust|set|correct|decide|make up one's mind|determine|cause|do|make|restrain|keep|keep back|hold back
worm,NNS,dirt ball|insect|louse|worm,invertebrate|unpleasant person|disagreeable person|malevolent program|screw
sirt-,NNP,,NA
promote,VBZ,advance|advertise|advertize|boost|elevate|encourage|further|kick upstairs|promote|push|raise|upgrade,support|back up|delegate|designate|depute|assign|praise|change|play
put,VBZ,arrange|assign|cast|commit|couch|frame|invest|lay|order|place|pose|position|put|redact|set|set up,move|displace|change|alter|modify|give voice|formulate|word|phrase|articulate|use|utilize|utilise|apply|employ|spend|expend|drop|estimate|gauge|approximate|guess|judge|subject|arrange|set|organize|organise
anything,NN,,NA
judge,VBG,adjudicate|approximate|estimate|evaluate|gauge|guess|judge|label|pass judgment|pronounce|try,decide|settle|resolve|adjudicate|think|cogitate|cerebrate|calculate|cipher|cypher|compute|work out|reckon|figure|declare|adjudge|hold|make up one's mind|determine
pedigree,NN,ancestry|blood|blood line|bloodline|descent|line|line of descent|lineage|origin|parentage|pedigree|stemma|stock,genealogy|family tree|breed|strain|stock|ancestry|lineage|derivation|filiation
potent,JJ,potent|powerful|stiff|strong|virile,
altogether,RB,all|all in all|all told|altogether|completely|entirely|in all|on the whole|right|totally|tout ensemble|whole|wholly,NA
surprising,JJ,surprising,
notably,RB,notably|remarkably|unco|unusually,NA
mitigation,NN,extenuation|mitigation|moderation|palliation,decrease|diminution|reduction|step-down|excuse|alibi|exculpation|self-justification|decrease|diminution|reduction|step-down
age-related,JJ,age-related,
defect,NNS,blemish|defect|fault|flaw|mar|shortcoming,imperfection|imperfectness|disadvantage|appearance|visual aspect
neurodegeneration,NN,,NA
carcinogenesis,NNS,,NA
atherosclerosis,NNS,atherosclerosis|coronary artery disease,arteriosclerosis|arterial sclerosis|hardening of the arteries|induration of the arteries|coronary-artery disease
pretty,RB,fairly|jolly|middling|moderately|passably|pretty|reasonably|somewhat,
big,JJ,adult|bad|big|big(a)|big(p)|bighearted|boastful|bounteous|bountiful|braggart(a)|bragging(a)|braggy|cock-a-hoop|crowing|enceinte|expectant|freehanded|full-grown|fully grown|giving|gravid|great(p)|grown|grownup|handsome|heavy(a)|heavy(p)|large|large(p)|liberal|magnanimous|openhanded|prominent|self-aggrandising|self-aggrandizing|swelled|vainglorious|with child(p),
gamble,NN,gamble,speculation|venture|risk|peril|danger
recall,VBZ,call back|call in|call up|come back|echo|hark back|recall|recollect|remember|retrieve|return|think|withdraw,denote|refer|resemble|call|send for|concentrate|focus|center|centre|pore|rivet|cancel|strike down|take
